-45.5,288.5,1.00000,11.07352
-45.5,289.5,2.86705,13.11456
-44.5,289.5,3.07041,16.58468
-43.5,291.5,2.82575,4.65259
-42.5,290.5,2.80191,5.92847
-41.5,288.5,1.67137,7.01595
-41.5,289.5,2.17599,5.44958
-41.5,292.5,2.93949,6.33475
-40.5,289.5,2.09481,3.20362
-40.5,290.5,1.56479,5.23328
-40.5,291.5,2.99269,6.21118
-40.5,292.5,1.95988,5.03313
-40.5,293.5,2.87614,4.12722
-40.5,294.5,2.59193,4.70959
-40.5,295.5,3.21442,5.82720
-39.5,289.5,1.38856,6.24178
-39.5,290.5,2.68538,5.88763
-39.5,291.5,2.85689,6.64457
-39.5,292.5,2.98141,7.21177
-39.5,293.5,2.76115,4.25381
-39.5,294.5,2.93830,6.38410
-38.5,289.5,1.93694,3.55432
-38.5,290.5,2.81057,5.69582
-38.5,291.5,2.62809,5.81753
-38.5,292.5,2.76263,5.95972
-37.5,141.5,2.66217,8.95008
-37.5,142.5,1.75989,9.45353
-37.5,143.5,2.78970,7.75005
-37.5,289.5,2.68367,6.35782
-37.5,290.5,2.60583,6.07969
-37.5,291.5,3.03855,5.53960
-36.5,141.5,2.96465,8.18661
-36.5,142.5,1.77188,5.45634
-36.5,143.5,3.16778,8.45277
-36.5,144.5,3.12860,8.30958
-36.5,145.5,3.24355,10.75990
-36.5,146.5,3.29239,11.88037
-36.5,147.5,2.41748,14.47266
-36.5,148.5,2.54646,6.88017
-36.5,289.5,1.62827,4.30698
-36.5,290.5,3.06279,17.24116
-35.5,140.5,3.18449,6.77403
-35.5,141.5,3.37513,7.38083
-35.5,142.5,2.95020,6.09585
-35.5,143.5,3.02895,7.85313
-35.5,144.5,2.87573,7.89185
-35.5,145.5,3.05913,8.41856
-35.5,146.5,2.95756,8.21925
-35.5,147.5,3.46699,10.21356
-35.5,148.5,2.24294,10.52764
-35.5,289.5,2.79070,30.16148
-34.5,141.5,3.12056,4.98186
-34.5,142.5,3.08608,5.63762
