lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
-35.50,289.50,14.44,8.97,6.95,4.92,6.57,15.29,30.00,41.50,44.32,41.60,31.78,20.91
-34.50,141.50,0.06,0.10,0.07,0.08,0.08,0.11,0.09,0.08,0.09,0.10,0.16,0.20
-34.50,142.50,0.08,0.15,0.09,0.09,0.08,0.14,0.12,0.09,0.09,0.12,0.22,0.20
-34.50,143.50,0.09,0.22,0.11,0.09,0.09,0.17,0.13,0.11,0.08,0.16,0.29,0.20
-34.50,144.50,0.08,0.25,0.11,0.08,0.11,0.19,0.14,0.14,0.09,0.19,0.28,0.20
-34.50,145.50,0.07,0.23,0.12,0.08,0.12,0.22,0.18,0.16,0.12,0.19,0.24,0.21
-34.50,146.50,0.07,0.24,0.14,0.10,0.12,0.27,0.21,0.19,0.17,0.19,0.19,0.23
-34.50,147.50,0.11,0.33,0.21,0.16,0.16,0.35,0.31,0.33,0.36,0.30,0.31,0.39
-34.50,148.50,0.19,0.41,0.27,0.21,0.20,0.44,0.43,0.52,0.61,0.50,0.54,0.60
-34.50,149.50,0.47,0.76,0.59,0.46,0.48,0.87,1.01,0.98,0.92,0.77,0.82,0.69
-33.50,116.50,1.26,0.72,0.56,0.48,0.65,1.17,2.96,5.53,5.89,4.71,3.01,1.80
-33.50,117.50,0.18,0.07,0.11,0.19,0.31,0.35,0.50,0.46,0.30,0.16,0.12,0.08
-33.50,141.50,0.07,0.12,0.08,0.07,0.09,0.11,0.10,0.08,0.10,0.13,0.21,0.20
-33.50,142.50,0.09,0.19,0.11,0.10,0.11,0.15,0.13,0.10,0.11,0.17,0.27,0.21
-33.50,143.50,0.08,0.25,0.14,0.10,0.11,0.17,0.13,0.12,0.10,0.22,0.31,0.19
-33.50,144.50,0.08,0.31,0.15,0.12,0.15,0.23,0.15,0.16,0.11,0.26,0.34,0.22
-33.50,145.50,0.09,0.27,0.16,0.14,0.17,0.26,0.19,0.20,0.17,0.24,0.31,0.31
-33.50,146.50,0.10,0.32,0.18,0.15,0.17,0.30,0.21,0.21,0.19,0.20,0.25,0.31
-33.50,147.50,0.15,0.42,0.24,0.19,0.20,0.37,0.28,0.28,0.30,0.25,0.35,0.40
-33.50,148.50,0.25,0.47,0.30,0.24,0.24,0.44,0.43,0.50,0.56,0.48,0.60,0.61
-33.50,289.50,11.33,7.04,5.42,3.75,4.79,9.84,19.92,34.15,38.07,33.87,24.66,16.33
-33.50,291.50,1.69,1.64,2.44,2.05,1.90,1.51,1.37,1.23,1.03,1.14,1.19,1.36
-33.50,302.50,10.72,12.80,14.03,15.12,20.39,22.69,22.01,20.81,18.91,19.27,16.15,11.86
-33.50,303.50,11.70,13.77,14.04,15.79,24.09,27.99,26.91,25.12,23.43,23.51,19.50,14.12
-33.50,304.50,13.26,13.07,14.27,16.46,27.65,33.25,32.38,31.35,29.96,29.68,24.34,17.64
-32.50,25.50,0.47,0.44,0.47,0.44,0.38,0.33,0.27,0.29,0.31,0.36,0.41,0.39
-32.50,140.50,0.10,0.16,0.12,0.13,0.15,0.17,0.16,0.15,0.18,0.25,0.32,0.29
-32.50,141.50,0.09,0.19,0.12,0.12,0.16,0.18,0.17,0.15,0.14,0.20,0.29,0.26
-32.50,142.50,0.11,0.27,0.16,0.16,0.20,0.22,0.22,0.19,0.18,0.26,0.36,0.31
-32.50,143.50,0.12,0.30,0.21,0.19,0.25,0.28,0.26,0.23,0.23,0.32,0.41,0.39
-32.50,144.50,0.13,0.32,0.23,0.20,0.28,0.34,0.27,0.26,0.23,0.32,0.40,0.38
-32.50,145.50,0.14,0.31,0.25,0.20,0.28,0.37,0.27,0.27,0.22,0.25,0.31,0.33
-32.50,146.50,0.15,0.37,0.28,0.24,0.30,0.42,0.30,0.29,0.25,0.24,0.34,0.36
-32.50,147.50,0.22,0.49,0.37,0.28,0.29,0.44,0.32,0.32,0.32,0.30,0.50,0.50
-32.50,148.50,0.28,0.51,0.40,0.33,0.33,0.51,0.46,0.50,0.49,0.47,0.69,0.74
-32.50,289.50,6.97,4.41,3.39,2.33,2.63,4.06,7.96,13.72,17.51,18.91,14.98,10.05
-32.50,302.50,12.63,14.89,14.62,16.99,24.13,26.12,23.69,20.80,18.20,19.29,17.41,14.32
-32.50,303.50,13.88,15.67,14.73,16.76,26.95,29.24,27.05,24.37,22.51,23.22,20.17,16.49
-32.50,304.50,23.56,22.09,22.01,24.64,41.26,45.94,45.85,44.05,43.20,44.15,38.35,30.55
-31.50,20.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-31.50,21.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-31.50,22.50,0.14,0.15,0.20,0.22,0.24,0.22,0.20,0.18,0.17,0.15,0.14,0.12
-31.50,23.50,0.18,0.19,0.25,0.29,0.29,0.27,0.24,0.21,0.19,0.18,0.16,0.16
-31.50,24.50,0.76,0.82,0.98,1.07,1.05,0.94,0.81,0.73,0.68,0.67,0.63,0.65
-31.50,25.50,0.73,0.77,0.88,0.91,0.88,0.76,0.62,0.56,0.54,0.56,0.57,0.58
-31.50,142.50,0.13,0.36,0.27,0.30,0.35,0.39,0.37,0.35,0.34,0.42,0.53,0.59
-31.50,143.50,0.19,0.45,0.35,0.39,0.50,0.56,0.49,0.46,0.44,0.54,0.65,0.74
-31.50,144.50,0.28,0.49,0.41,0.41,0.63,0.73,0.61,0.56,0.50,0.58,0.68,0.75
-31.50,145.50,0.29,0.46,0.45,0.41,0.60,0.69,0.53,0.46,0.39,0.38,0.47,0.53
-31.50,146.50,0.27,0.50,0.49,0.41,0.54,0.62,0.46,0.38,0.31,0.29,0.46,0.53
-31.50,147.50,0.26,0.54,0.43,0.31,0.27,0.42,0.26,0.20,0.19,0.24,0.54,0.56
-31.50,148.50,0.24,0.49,0.36,0.30,0.24,0.46,0.34,0.26,0.23,0.26,0.59,0.69
-31.50,149.50,0.27,0.50,0.34,0.28,0.19,0.48,0.39,0.33,0.28,0.28,0.66,0.74
-31.50,150.50,0.41,0.62,0.56,0.46,0.40,0.76,0.68,0.63,0.55,0.54,0.89,0.82
-31.50,151.50,4.94,7.04,10.66,10.06,10.49,11.18,9.72,8.19,6.47,6.09,6.96,6.26
-31.50,288.50,1.42,0.91,0.72,0.52,0.65,0.79,1.32,2.10,2.96,3.80,3.13,2.07
-31.50,289.50,10.34,6.59,5.07,3.50,3.64,4.73,8.38,14.68,21.70,28.21,23.27,15.27
-31.50,290.50,0.20,0.20,0.15,0.10,0.15,0.11,0.13,0.13,0.13,0.12,0.15,0.18
-31.50,302.50,33.93,31.65,33.90,40.12,50.84,52.54,47.65,40.85,36.34,41.15,41.11,39.42
-31.50,303.50,33.59,28.95,31.18,36.71,50.61,52.37,50.29,46.23,45.02,49.63,46.19,40.87
-31.50,304.50,25.34,19.59,20.68,25.09,36.02,38.79,40.23,38.36,39.12,42.71,38.28,33.02
-31.50,305.50,29.03,21.55,21.60,26.58,37.97,43.43,47.50,47.18,48.83,51.45,45.49,39.25
-30.50,20.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-30.50,21.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-30.50,22.50,0.13,0.14,0.21,0.25,0.27,0.25,0.22,0.19,0.16,0.15,0.13,0.11
-30.50,23.50,0.20,0.21,0.29,0.33,0.35,0.31,0.27,0.23,0.20,0.18,0.16,0.17
-30.50,24.50,0.27,0.27,0.34,0.36,0.37,0.32,0.27,0.23,0.21,0.20,0.20,0.24
-30.50,25.50,0.28,0.29,0.35,0.37,0.38,0.31,0.25,0.21,0.19,0.19,0.20,0.23
-30.50,26.50,0.30,0.29,0.32,0.32,0.30,0.23,0.18,0.17,0.16,0.17,0.22,0.26
-30.50,27.50,15.96,14.85,15.92,14.25,12.77,10.12,8.03,7.88,7.10,8.95,11.92,14.45
-30.50,143.50,0.25,0.60,0.55,0.67,0.75,0.77,0.64,0.58,0.53,0.61,0.70,0.84
-30.50,144.50,0.39,0.68,0.71,0.77,0.96,1.00,0.83,0.72,0.63,0.66,0.76,0.89
-30.50,145.50,0.38,0.64,0.76,0.75,0.85,0.86,0.66,0.56,0.46,0.44,0.54,0.73
-30.50,146.50,0.40,0.79,0.95,0.81,0.71,0.67,0.46,0.36,0.29,0.32,0.50,0.74
-30.50,147.50,0.36,0.70,0.68,0.51,0.42,0.49,0.31,0.20,0.17,0.27,0.58,0.69
-30.50,148.50,0.38,0.55,0.40,0.27,0.22,0.42,0.31,0.19,0.18,0.26,0.63,0.67
-30.50,149.50,0.42,0.52,0.37,0.24,0.17,0.44,0.36,0.28,0.28,0.29,0.63,0.61
-30.50,150.50,0.44,0.50,0.40,0.27,0.20,0.44,0.36,0.34,0.39,0.37,0.65,0.55
-30.50,290.50,0.60,0.64,0.43,0.40,0.42,0.37,0.48,0.46,0.51,0.54,0.55,0.54
-30.50,301.50,33.61,29.89,35.30,43.69,50.95,47.72,41.48,34.29,28.29,30.89,33.17,35.06
-30.50,302.50,45.78,37.05,40.84,47.28,58.51,57.10,52.76,46.13,41.92,46.08,50.37,50.36
-30.50,303.50,46.66,35.90,39.14,43.98,57.20,56.34,55.00,51.02,49.47,55.41,55.98,51.95
-30.50,304.50,35.10,25.92,26.30,28.91,38.88,40.92,42.72,40.52,41.10,49.51,45.46,42.10
-29.50,18.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-29.50,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-29.50,20.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-29.50,21.50,0.06,0.07,0.10,0.12,0.13,0.13,0.12,0.10,0.08,0.07,0.06,0.05
-29.50,22.50,0.12,0.14,0.22,0.26,0.29,0.26,0.23,0.18,0.14,0.12,0.10,0.10
-29.50,23.50,0.20,0.24,0.35,0.38,0.40,0.35,0.29,0.23,0.19,0.17,0.16,0.17
-29.50,24.50,0.31,0.34,0.46,0.48,0.48,0.40,0.32,0.26,0.22,0.20,0.22,0.25
-29.50,25.50,0.40,0.44,0.58,0.61,0.63,0.50,0.39,0.31,0.26,0.24,0.27,0.33
-29.50,26.50,0.34,0.35,0.43,0.42,0.40,0.31,0.25,0.21,0.17,0.17,0.23,0.31
-29.50,27.50,21.05,20.54,24.88,21.84,19.14,15.10,11.98,10.63,8.76,10.89,14.49,18.41
-29.50,28.50,21.48,23.17,30.84,26.41,21.28,15.87,12.25,10.40,8.60,11.02,13.41,17.15
-29.50,144.50,0.79,1.20,1.86,1.74,1.68,1.49,1.25,1.03,0.84,0.81,0.95,1.16
-29.50,145.50,0.90,1.47,2.11,1.83,1.64,1.35,1.03,0.82,0.63,0.62,0.77,1.05
-29.50,146.50,1.04,1.87,2.70,2.24,1.86,1.44,1.07,0.79,0.60,0.60,0.78,1.21
-29.50,147.50,0.76,1.30,1.85,1.51,1.22,0.99,0.72,0.48,0.38,0.46,0.76,0.97
-29.50,148.50,0.62,0.77,0.89,0.61,0.50,0.57,0.40,0.24,0.21,0.32,0.71,0.66
-29.50,149.50,0.53,0.59,0.50,0.23,0.19,0.41,0.28,0.15,0.19,0.23,0.62,0.55
-29.50,150.50,0.48,0.49,0.45,0.22,0.19,0.40,0.27,0.23,0.30,0.31,0.65,0.59
-29.50,151.50,4.19,4.78,7.47,5.94,6.15,6.53,4.97,4.30,3.78,3.91,4.83,4.37
-29.50,152.50,15.73,20.97,35.92,31.53,30.97,30.09,25.15,19.86,15.02,13.85,13.76,12.73
-29.50,290.50,1.22,1.05,0.87,0.85,0.81,0.76,0.98,1.04,1.20,1.34,1.27,1.17
-29.50,302.50,48.77,38.02,43.67,49.36,58.59,53.28,50.71,43.71,36.11,44.80,49.61,51.23
-29.50,303.50,57.58,45.28,48.46,51.17,63.39,62.01,61.34,54.43,47.77,64.00,64.97,62.23
-29.50,304.50,47.68,35.78,34.49,34.90,44.41,46.60,49.12,45.24,44.22,62.70,59.16,54.20
-29.50,305.50,51.82,37.23,35.62,33.17,39.90,46.31,53.01,52.22,53.84,75.83,68.71,61.69
-28.50,18.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-28.50,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-28.50,20.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-28.50,21.50,0.08,0.09,0.15,0.17,0.18,0.17,0.15,0.13,0.10,0.08,0.07,0.06
-28.50,22.50,0.15,0.18,0.29,0.32,0.35,0.31,0.27,0.21,0.16,0.13,0.11,0.12
-28.50,23.50,0.22,0.28,0.43,0.46,0.48,0.39,0.31,0.24,0.18,0.15,0.14,0.16
-28.50,24.50,0.15,0.19,0.25,0.25,0.24,0.18,0.14,0.11,0.09,0.08,0.09,0.11
-28.50,25.50,0.40,0.43,0.53,0.50,0.47,0.36,0.29,0.22,0.18,0.17,0.22,0.31
-28.50,26.50,0.15,0.14,0.17,0.15,0.13,0.10,0.08,0.07,0.05,0.06,0.08,0.13
-28.50,27.50,0.13,0.11,0.13,0.10,0.08,0.06,0.05,0.05,0.04,0.06,0.08,0.10
-28.50,28.50,4.48,4.40,5.69,4.62,3.75,2.71,2.08,1.84,1.50,2.30,2.87,3.55
-28.50,29.50,4.10,4.42,6.11,5.20,4.02,2.74,2.07,1.71,1.40,1.99,2.57,2.90
-28.50,30.50,12.80,12.67,14.04,12.10,9.55,6.95,6.06,5.24,4.70,5.95,8.45,9.74
-28.50,141.50,0.07,0.14,0.20,0.22,0.19,0.16,0.13,0.11,0.11,0.12,0.19,0.26
-28.50,142.50,0.08,0.16,0.25,0.26,0.22,0.18,0.14,0.11,0.11,0.12,0.20,0.28
-28.50,144.50,1.39,2.04,3.30,2.83,2.67,2.21,1.83,1.46,1.16,1.07,1.19,1.47
-28.50,145.50,2.18,3.20,4.48,3.55,2.92,2.22,1.76,1.38,1.06,1.00,1.20,1.61
-28.50,146.50,2.27,3.48,5.05,4.02,3.19,2.42,1.90,1.47,1.13,1.04,1.20,1.76
-28.50,147.50,1.39,2.13,3.57,2.83,2.20,1.66,1.20,0.84,0.66,0.66,0.86,1.28
-28.50,148.50,0.85,1.23,2.02,1.57,1.27,1.01,0.74,0.50,0.41,0.47,0.65,0.84
-28.50,149.50,0.40,0.58,0.67,0.38,0.35,0.42,0.26,0.18,0.21,0.28,0.50,0.57
-28.50,150.50,0.35,0.49,0.39,0.14,0.15,0.30,0.17,0.15,0.20,0.26,0.48,0.55
-28.50,151.50,0.70,0.83,0.99,0.70,0.72,0.82,0.58,0.49,0.42,0.55,0.72,0.84
-28.50,290.50,0.78,0.60,0.59,0.62,0.61,0.54,0.77,0.67,0.76,0.83,0.83,0.75
-28.50,291.50,0.60,0.38,0.23,0.14,0.12,0.08,0.09,0.07,0.07,0.09,0.10,0.24
-28.50,302.50,31.54,24.89,26.63,29.39,33.34,30.88,29.49,24.64,19.42,24.65,31.30,32.96
-28.50,303.50,35.65,28.68,29.06,30.01,35.61,36.76,36.61,31.72,27.13,37.93,41.07,39.24
-28.50,304.50,72.52,56.67,54.57,53.96,65.55,74.71,74.84,68.20,64.79,92.85,91.18,82.40
-28.50,305.50,74.65,55.66,51.52,48.70,59.12,70.78,75.32,71.50,70.64,100.67,96.09,87.64
-28.50,307.50,54.18,42.03,41.09,38.95,49.27,55.27,64.04,61.93,63.92,84.06,77.59,63.52
-28.50,308.50,52.05,42.32,42.74,39.57,50.03,52.72,62.07,60.62,63.15,77.85,71.66,58.52
-28.50,309.50,47.44,43.03,46.62,42.12,49.62,47.97,52.43,51.41,55.13,65.18,60.71,51.20
-27.50,18.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-27.50,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-27.50,20.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-27.50,21.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-27.50,22.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-27.50,23.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-27.50,24.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-27.50,25.50,0.14,0.15,0.18,0.16,0.14,0.11,0.09,0.07,0.05,0.05,0.07,0.10
-27.50,26.50,0.11,0.10,0.11,0.10,0.08,0.06,0.04,0.03,0.03,0.04,0.06,0.09
-27.50,27.50,0.09,0.07,0.07,0.04,0.03,0.02,0.01,0.02,0.01,0.04,0.05,0.07
-27.50,28.50,2.56,2.10,2.27,1.47,1.14,0.78,0.55,0.56,0.56,1.38,1.82,2.06
-27.50,29.50,8.54,7.17,8.36,6.48,4.85,3.47,2.61,2.30,1.80,4.16,6.50,6.58
-27.50,115.50,0.07,0.07,0.15,0.22,0.23,0.20,0.18,0.15,0.11,0.09,0.07,0.06
-27.50,116.50,0.09,0.10,0.19,0.28,0.28,0.23,0.19,0.14,0.11,0.09,0.07,0.07
-27.50,141.50,0.09,0.15,0.28,0.29,0.24,0.18,0.14,0.10,0.10,0.11,0.18,0.19
-27.50,142.50,0.11,0.24,0.51,0.47,0.39,0.29,0.24,0.18,0.17,0.18,0.26,0.30
-27.50,145.50,3.06,4.30,5.86,4.77,3.80,2.91,2.28,1.79,1.42,1.28,1.50,2.26
-27.50,146.50,2.93,4.18,6.15,4.99,3.90,2.93,2.28,1.78,1.41,1.29,1.55,2.33
-27.50,147.50,1.45,2.07,3.79,3.01,2.28,1.67,1.22,0.91,0.73,0.71,0.98,1.55
-27.50,148.50,0.80,1.29,2.33,1.84,1.39,1.11,0.79,0.60,0.49,0.52,0.65,1.03
-27.50,149.50,0.41,0.65,0.82,0.58,0.44,0.50,0.27,0.24,0.23,0.36,0.48,0.73
-27.50,150.50,0.39,0.55,0.40,0.16,0.14,0.32,0.12,0.17,0.14,0.31,0.43,0.69
-27.50,293.50,7.91,9.31,12.70,11.05,8.72,6.41,4.95,3.71,2.81,2.77,3.09,3.62
